cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
115.0,4897.0,711.0,61.0,1209.0,456.0,19382.0,26831.0,2020-08-24
203.0,3602.0,782.0,153.0,1071.0,508.0,0.0,6319.0,2020-08-23
510.0,4586.0,2034.0,79.0,947.0,534.0,0.0,8690.0,2020-08-22
581.0,4771.0,1427.0,129.0,840.0,529.0,8148.0,16425.0,2020-08-21
612.0,3776.0,1707.0,48.0,642.0,552.0,7039.0,14376.0,2020-08-20
725.0,2238.0,1510.0,186.0,401.0,487.0,6671.0,12218.0,2020-08-19
707.0,493.0,1390.0,56.0,320.0,481.0,5114.0,8561.0,2020-08-18
132.0,3015.0,561.0,66.0,477.0,506.0,16269.0,21026.0,2020-08-17
163.0,3310.0,625.0,196.0,629.0,652.0,0.0,5575.0,2020-08-16
587.0,2846.0,1415.0,66.0,574.0,636.0,0.0,6124.0,2020-08-15
669.0,2669.0,1449.0,91.0,522.0,577.0,5479.0,11456.0,2020-08-14
609.0,2524.0,1445.0,37.0,476.0,654.0,7550.0,13295.0,2020-08-13
718.0,1397.0,1226.0,33.0,412.0,779.0,3172.0,7737.0,2020-08-12
873.0,4854.0,966.0,56.0,259.0,575.0,3632.0,11215.0,2020-08-11
122.0,0.0,436.0,68.0,463.0,577.0,8618.0,10284.0,2020-08-10
304.0,0.0,555.0,174.0,347.0,486.0,0.0,1866.0,2020-08-09
771.0,2288.0,1122.0,98.0,552.0,519.0,0.0,5350.0,2020-08-08
769.0,1604.0,1147.0,69.0,401.0,601.0,4507.0,9098.0,2020-08-07
776.0,1695.0,1045.0,50.0,384.0,426.0,4088.0,8464.0,2020-08-06
814.0,1039.0,741.0,45.0,190.0,540.0,2953.0,6322.0,2020-08-05
794.0,3376.0,879.0,46.0,159.0,372.0,5760.0,11386.0,2020-08-04
148.0,0.0,509.0,53.0,238.0,311.0,8532.0,9791.0,2020-08-03
309.0,0.0,240.0,44.0,295.0,431.0,0.0,1319.0,2020-08-02
684.0,1346.0,955.0,38.0,379.0,338.0,0.0,3740.0,2020-08-01
635.0,1377.0,870.0,85.0,382.0,342.0,3092.0,6783.0,2020-07-31
703.0,1392.0,902.0,13.0,288.0,247.0,2789.0,6334.0,2020-07-30
685.0,725.0,684.0,37.0,202.0,223.0,2031.0,4587.0,2020-07-29
595.0,2551.0,633.0,11.0,168.0,205.0,1828.0,5991.0,2020-07-28
184.0,0.0,340.0,12.0,254.0,214.0,6361.0,7365.0,2020-07-27
229.0,0.0,305.0,24.0,274.0,137.0,0.0,969.0,2020-07-26
496.0,1130.0,781.0,19.0,252.0,191.0,0.0,2869.0,2020-07-25
439.0,1062.0,815.0,7.0,306.0,163.0,2255.0,5047.0,2020-07-24
553.0,998.0,569.0,17.0,280.0,168.0,2615.0,5200.0,2020-07-23
145.0,584.0,454.0,36.0,128.0,163.0,1357.0,2867.0,2020-07-22
443.0,2080.0,522.0,6.0,190.0,185.0,1358.0,4784.0,2020-07-21
64.0,0.0,249.0,10.0,218.0,144.0,4581.0,5266.0,2020-07-20
130.0,0.0,202.0,20.0,249.0,127.0,0.0,728.0,2020-07-19
274.0,836.0,529.0,32.0,231.0,103.0,0.0,2005.0,2020-07-18
226.0,534.0,583.0,15.0,230.0,99.0,1400.0,3087.0,2020-07-17
260.0,927.0,534.0,13.0,162.0,106.0,1361.0,3363.0,2020-07-16
207.0,0.0,351.0,32.0,114.0,53.0,875.0,1632.0,2020-07-15
224.0,1625.0,412.0,10.0,169.0,71.0,666.0,3177.0,2020-07-14
43.0,0.0,159.0,17.0,234.0,101.0,2045.0,2599.0,2020-07-13
62.0,0.0,248.0,22.0,188.0,81.0,0.0,601.0,2020-07-12
127.0,658.0,378.0,24.0,276.0,42.0,0.0,1505.0,2020-07-11
124.0,621.0,395.0,23.0,214.0,52.0,852.0,2281.0,2020-07-10
137.0,663.0,442.0,4.0,193.0,52.0,543.0,2034.0,2020-07-09
99.0,475.0,397.0,7.0,137.0,37.0,383.0,1535.0,2020-07-08
112.0,1375.0,390.0,4.0,208.0,36.0,341.0,2466.0,2020-07-07
24.0,0.0,219.0,18.0,192.0,73.0,1244.0,1770.0,2020-07-06
64.0,0.0,239.0,11.0,235.0,61.0,0.0,610.0,2020-07-05
94.0,582.0,422.0,9.0,223.0,75.0,0.0,1405.0,2020-07-04
93.0,659.0,446.0,12.0,201.0,77.0,442.0,1930.0,2020-07-03
135.0,918.0,503.0,4.0,182.0,62.0,444.0,2248.0,2020-07-02
100.0,541.0,466.0,11.0,142.0,50.0,388.0,1698.0,2020-07-01
127.0,1324.0,498.0,23.0,126.0,76.0,301.0,2475.0,2020-06-30
24.0,0.0,262.0,2.0,174.0,73.0,200.0,735.0,2020-06-29
41.0,0.0,256.0,23.0,175.0,69.0,301.0,865.0,2020-06-28
113.0,1588.0,687.0,9.0,255.0,91.0,564.0,3307.0,2020-06-27
76.0,0.0,477.0,9.0,296.0,110.0,419.0,1387.0,2020-06-26
100.0,81.0,630.0,5.0,577.0,82.0,400.0,1875.0,2020-06-25
110.0,517.0,587.0,8.0,113.0,64.0,334.0,1733.0,2020-06-24
143.0,373.0,503.0,4.0,221.0,65.0,248.0,1557.0,2020-06-23
20.0,284.0,537.0,5.0,224.0,91.0,232.0,1393.0,2020-06-22
50.0,641.0,687.0,6.0,264.0,76.0,334.0,2058.0,2020-06-21
121.0,811.0,601.0,13.0,-148.0,107.0,363.0,1868.0,2020-06-20
108.0,467.0,770.0,14.0,331.0,115.0,307.0,2112.0,2020-06-19
123.0,458.0,580.0,7.0,328.0,117.0,585.0,2198.0,2020-06-18
99.0,344.0,345.0,13.0,210.0,139.0,355.0,1505.0,2020-06-17
147.0,152.0,378.0,18.0,301.0,165.0,219.0,1380.0,2020-06-16
22.0,407.0,192.0,8.0,338.0,143.0,181.0,1291.0,2020-06-15
49.0,526.0,247.0,45.0,346.0,179.0,323.0,1715.0,2020-06-14
89.0,726.0,348.0,12.0,163.0,210.0,396.0,1944.0,2020-06-13
95.0,425.0,258.0,7.0,379.0,164.0,502.0,1830.0,2020-06-12
119.0,545.0,555.0,16.0,202.0,184.0,427.0,2048.0,2020-06-11
145.0,403.0,318.0,8.0,283.0,164.0,314.0,1635.0,2020-06-10
153.0,211.0,350.0,6.0,280.0,165.0,249.0,1414.0,2020-06-09
53.0,343.0,214.0,18.0,197.0,239.0,167.0,1231.0,2020-06-08
69.0,579.0,301.0,20.0,270.0,183.0,240.0,1662.0,2020-06-07
154.0,611.0,407.0,21.0,518.0,210.0,332.0,2253.0,2020-06-06
172.0,767.0,507.0,31.0,177.0,209.0,318.0,2181.0,2020-06-05
159.0,352.0,394.0,45.0,321.0,86.0,334.0,1691.0,2020-06-04
183.0,-766.0,342.0,4.0,318.0,102.0,394.0,577.0,2020-06-03
59.0,338.0,213.0,72.0,178.0,103.0,294.0,1257.0,2020-06-02
49.0,257.0,333.0,61.0,355.0,185.0,209.0,1449.0,2020-06-01
61.0,1828.0,286.0,53.0,416.0,131.0,201.0,2976.0,2020-05-31
165.0,597.0,738.0,35.0,516.0,176.0,664.0,2891.0,2020-05-30
171.0,3325.0,741.0,38.0,593.0,182.0,658.0,5708.0,2020-05-29
182.0,191.0,353.0,68.0,584.0,190.0,1137.0,2705.0,2020-05-28
202.0,276.0,362.0,37.0,397.0,133.0,510.0,1917.0,2020-05-27
314.0,358.0,432.0,59.0,300.0,209.0,859.0,2531.0,2020-05-26
75.0,115.0,289.0,57.0,531.0,172.0,-372.0,867.0,2020-05-25
123.0,240.0,431.0,76.0,669.0,176.0,482.0,2197.0,2020-05-24
248.0,403.0,638.0,115.0,652.0,188.0,466.0,2710.0,2020-05-23
70.0,318.0,460.0,76.0,642.0,253.0,1787.0,3606.0,2020-05-22
385.0,418.0,745.0,64.0,665.0,198.0,482.0,2957.0,2020-05-21
292.0,524.0,797.0,51.0,813.0,108.0,518.0,3103.0,2020-05-20
317.0,492.0,513.0,88.0,451.0,146.0,431.0,2438.0,2020-05-19
81.0,120.0,342.0,64.0,675.0,125.0,256.0,1663.0,2020-05-18
147.0,372.0,583.0,92.0,875.0,189.0,652.0,2910.0,2020-05-17
347.0,563.0,620.0,129.0,789.0,200.0,515.0,3163.0,2020-05-16
305.0,622.0,913.0,426.0,992.0,270.0,643.0,4171.0,2020-05-15
321.0,507.0,933.0,159.0,888.0,227.0,849.0,3884.0,2020-05-14
395.0,708.0,798.0,107.0,1402.0,196.0,439.0,4045.0,2020-05-13
476.0,456.0,933.0,139.0,744.0,161.0,482.0,3391.0,2020-05-12
118.0,209.0,357.0,236.0,802.0,245.0,393.0,2360.0,2020-05-11
240.0,433.0,667.0,219.0,1083.0,289.0,3416.0,6347.0,2020-05-10
483.0,642.0,1251.0,156.0,1327.0,319.0,743.0,4921.0,2020-05-09
442.0,629.0,1209.0,137.0,1401.0,455.0,1173.0,5446.0,2020-05-08
552.0,4183.0,1284.0,265.0,1444.0,232.0,921.0,8881.0,2020-05-07
547.0,1104.0,947.0,261.0,1075.0,317.0,880.0,5131.0,2020-05-06
670.0,576.0,685.0,216.0,1221.0,199.0,1039.0,4606.0,2020-05-05
140.0,308.0,679.0,330.0,1389.0,335.0,466.0,3647.0,2020-05-04
286.0,794.0,793.0,343.0,1900.0,445.0,935.0,5496.0,2020-05-03
237.0,604.0,945.0,221.0,1965.0,475.0,1234.0,5681.0,2020-05-02
586.0,1139.0,1639.0,359.0,1872.0,514.0,1387.0,7496.0,2020-05-01
522.0,1607.0,1478.0,376.0,2086.0,386.0,1241.0,7696.0,2020-04-30
569.0,1065.0,1304.0,229.0,2091.0,171.0,847.0,6276.0,2020-04-29
755.0,1195.0,1144.0,386.0,1739.0,400.0,1525.0,7144.0,2020-04-28
205.0,461.0,1018.0,701.0,2324.0,655.0,1660.0,7024.0,2020-04-27
388.0,1537.0,1737.0,377.0,2357.0,655.0,1641.0,8692.0,2020-04-26
811.0,1773.0,2055.0,577.0,3021.0,806.0,2506.0,11549.0,2020-04-25
976.0,1653.0,2337.0,936.0,2646.0,887.0,2114.0,11549.0,2020-04-24
778.0,1827.0,2352.0,631.0,3370.0,708.0,2916.0,12582.0,2020-04-23
1270.0,2667.0,2237.0,388.0,2729.0,729.0,2312.0,12332.0,2020-04-22
1278.0,2051.0,1785.0,401.0,2256.0,750.0,2951.0,11472.0,2020-04-21
444.0,785.0,1775.0,493.0,3047.0,1066.0,2218.0,9828.0,2020-04-20
722.0,2569.0,2458.0,778.0,3491.0,1140.0,-713.0,10445.0,2020-04-19
1395.0,405.0,3609.0,709.0,3493.0,1235.0,3836.0,14682.0,2020-04-18
1675.0,2641.0,3380.0,724.0,3786.0,1061.0,3818.0,17085.0,2020-04-17
1633.0,2633.0,2866.0,1068.0,2667.0,734.0,3820.0,15421.0,2020-04-16
1561.0,5497.0,2486.0,832.0,2972.0,868.0,4424.0,18640.0,2020-04-15
538.0,2673.0,2082.0,992.0,3153.0,964.0,3116.0,13518.0,2020-04-14
524.0,1613.0,2537.0,727.0,4092.0,1174.0,3030.0,13697.0,2020-04-13
1032.0,3114.0,2821.0,839.0,4694.0,1316.0,3899.0,17715.0,2020-04-12
2336.0,4342.0,4133.0,696.0,3951.0,1335.0,4550.0,21343.0,2020-04-11
2240.0,4286.0,5323.0,1169.0,4204.0,1213.0,4537.0,22972.0,2020-04-10
1599.0,3881.0,4974.0,515.0,3836.0,969.0,5745.0,21519.0,2020-04-09
1515.0,3777.0,4003.0,345.0,3039.0,777.0,5583.0,19039.0,2020-04-08
1937.0,3912.0,3834.0,253.0,3599.0,952.0,5209.0,19696.0,2020-04-07
667.0,1873.0,3677.0,507.0,4316.0,1224.0,3667.0,15931.0,2020-04-06
923.0,4267.0,5936.0,331.0,4805.0,904.0,5533.0,22699.0,2020-04-05
1694.0,5233.0,6082.0,424.0,4585.0,1026.0,6663.0,25707.0,2020-04-04
1479.0,2116.0,6174.0,402.0,4668.0,1083.0,7272.0,23194.0,2020-04-03
1517.0,4861.0,6156.0,212.0,4782.0,1019.0,7583.0,26130.0,2020-04-02
1683.0,7578.0,5453.0,325.0,4053.0,845.0,7413.0,27350.0,2020-04-01
1739.0,4376.0,4615.0,295.0,4050.0,884.0,8145.0,24104.0,2020-03-31
685.0,2599.0,4751.0,200.0,5217.0,1104.0,5813.0,20369.0,2020-03-30
845.0,4611.0,3965.0,294.0,5974.0,1159.0,6424.0,23272.0,2020-03-29
1520.0,3809.0,6294.0,302.0,5959.0,1172.0,8244.0,27300.0,2020-03-28
1363.0,3922.0,5780.0,255.0,6153.0,1019.0,9181.0,27673.0,2020-03-27
1199.0,2931.0,4954.0,235.0,5210.0,852.0,8954.0,24335.0,2020-03-26
1195.0,2446.0,2342.0,204.0,5249.0,811.0,8553.0,20800.0,2020-03-25
1328.0,3838.0,4438.0,219.0,4789.0,545.0,7691.0,22848.0,2020-03-24
486.0,1559.0,3311.0,121.0,5560.0,573.0,4646.0,16256.0,2020-03-23
469.0,1847.0,3276.0,102.0,6557.0,637.0,4866.0,17754.0,2020-03-22
662.0,1617.0,4049.0,126.0,5986.0,534.0,5446.0,18420.0,2020-03-21
713.0,1861.0,5940.0,191.0,5322.0,409.0,4569.0,19005.0,2020-03-20
535.0,1404.0,1042.0,74.0,4207.0,346.0,4047.0,11655.0,2020-03-19
422.0,1097.0,1144.0,69.0,3526.0,292.0,3694.0,10244.0,2020-03-18
387.0,1210.0,1174.0,54.0,4000.0,278.0,2503.0,9606.0,2020-03-17
214.0,924.0,1043.0,40.0,2823.0,176.0,1706.0,6926.0,2020-03-16
179.0,838.0,733.0,38.0,3497.0,155.0,2144.0,7584.0,2020-03-15
338.0,785.0,693.0,21.0,2547.0,190.0,1683.0,6257.0,2020-03-14
251.0,595.0,802.0,27.0,2651.0,111.0,1531.0,5968.0,2020-03-13
174.0,497.0,271.0,8.0,2313.0,121.0,1153.0,4537.0,2020-03-12
99.0,372.0,157.0,14.0,977.0,61.0,975.0,2655.0,2020-03-11
94.0,286.0,237.0,,1797.0,56.0,772.0,3242.0,2020-03-10
64.0,410.0,55.0,2.0,1492.0,77.0,433.0,2533.0,2020-03-09
27.0,103.0,163.0,1.0,1247.0,60.0,330.0,1931.0,2020-03-08
110.0,190.0,284.0,5.0,778.0,46.0,233.0,1646.0,2020-03-07
81.0,138.0,138.0,7.0,769.0,44.0,183.0,1360.0,2020-03-06
53.0,73.0,66.0,4.0,587.0,10.0,81.0,874.0,2020-03-05
34.0,34.0,39.0,1.0,466.0,10.0,75.0,659.0,2020-03-04
19.0,48.0,28.0,,347.0,5.0,56.0,503.0,2020-03-03
0.0,30.0,18.0,0.0,561.0,6.0,54.0,669.0,2020-03-02
18.0,43.0,54.0,1.0,240.0,5.0,28.0,389.0,2020-03-01
0.0,19.0,10.0,0.0,238.0,1.0,19.0,287.0,2020-02-29
0.0,21.0,26.0,0.0,250.0,1.0,18.0,316.0,2020-02-28
0.0,3.0,4.0,0.0,78.0,0.0,8.0,93.0,2020-02-27
0.0,2.0,2.0,0.0,93.0,0.0,6.0,103.0,2020-02-26
0.0,0.0,0.0,0.0,97.0,0.0,1.0,98.0,2020-02-25
0.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,2020-02-24
0.0,0.0,0.0,0.0,62.0,0.0,0.0,62.0,2020-02-23
0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,2020-02-22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-18
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-02-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-13
0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2020-02-12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-11
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2020-02-10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-09
0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0,2020-02-08
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2020-02-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-05
1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2020-02-04
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2020-02-03
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2020-02-02
0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2020-02-01
0.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,2020-01-31
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2020-01-30
0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,2020-01-29
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2020-01-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-26
0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2020-01-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-24
